Screen Name,User Name,Tweet Created At,Tweet Text,User Location,Retweet Count,Phone Type,Hashtags
MagicalMikhail,b'R. Mikhail Thompson',8/15/2019 23:47,"b'""People call me a futurist I\'d like to think that I\'m a presentist."" \n-#AndrewYang #Automation #Jobs #SelfDrivingVehicles #Robots #AI #Robo #JobLoss #UBI #FreedomDividend #SelfDrivingCars #SelfDrivingTrucks #Truckers #Careers #Protests #MassiveLayoffs\nhttps://t.co/9NL321UGXp'",b'Global',0,b'Twitter for Android', AndrewYang Automation Jobs SelfDrivingVehicles Robots AI Robo JobLoss UBI FreedomDividend SelfDrivingCars SelfDrivingTrucks Truckers Careers Protests MassiveLayoffs
chiefmanywolvez,b'Mark Watson',8/15/2019 22:45,"b'@AndrewYang The 80\'s called and want their ""ROBOTS WILL TAKE YOUR JOBS"" rederick back'",b'AMERICA AMERICAN TRUMP #myPresident',0,b'Twitter Web App',nan
dawnwow,b'Dawn \xe2\x80\x9clikes the 4th Amendment\xe2\x80\x9d Moore',8/15/2019 22:00,b'@CrystalsLady @AndrewYang People are prejudiced about Asians in weird ways. We\xe2\x80\x99re like robots. 1 or 2 is OK but too many and we\xe2\x80\x99re a threat to jobs and university spots. Although we generally receive a lot of positive racism from the white majority we are still \xe2\x80\x9can other\xe2\x80\x9d to them https://t.co/Er5YPdniCJ',b'Canberra',0,b'Twitter for iPhone',nan
briancommeans,b'Brian Commeans',8/15/2019 21:52,"b'@azina @DubeJohnr @AndrewYang I agree being prepared is better.\nBut i see so much put out there about humans losing driving jobs, I see shortages right now.Robots could take over,but not for a really long time.'","b'Las Vegas,NV'",0,b'Twitter Web App',nan
calmsannic,b'Elder Moony Morgan',8/15/2019 21:25,b'RT @HarbRimah: #Robots can perform 25% of Americans jobs today via \n@Paula_Piccard\n\n#AI #hrtech #RPA  \n@Julez_Norton\n@JGrobicki\n \n@mvollmer\xe2\x80\xa6',b'some where on earth.....',4,b'Twitter for Android', Robots AI hrtech RPA
THEAdamGabriel,"b'Adam Gabriel, #TOP\xf0\x9f\x94\x9d #Influencer\xf0\x9f\x93\xa1'",8/15/2019 20:20,"b""#RT @MikeQuindazzi: RT @AndrewinContact: 5 Jobs for #Drones in the #FutureofWork https://t.co/ATYq4QyGAa via @MikeQuindazzi by @droneii Insights into the #jobs drones and #robots will take in #business in the next wave.  It's not if but when due to the \xe2\x80\xa6 https://t.co/58Y4Q42BCu""","b'Financial District, Manhattan'",0,b'IFTTT', RT Drones FutureofWork jobs robots business
KeyNode,b'The KEY In The North',8/15/2019 19:19,"b""RT AndrewinContact: 5 Jobs for #Drones in the #FutureofWork https://t.co/1nJUe94TUw via MikeQuindazzi by droneii Insights into the #jobs drones and #robots will take in #business in the next wave.  It's not if but when due to the #tech, #security &amp; #ROI\xe2\x80\xa6 https://t.co/qS1OLBvoOE""",b'A New Wave',0,b'IFTTT', Drones FutureofWork jobs robots business tech security ROI
SoumikRoy,b'Soumik Roy',8/15/2019 19:10,"b""via MikeQuindazzi: RT AndrewinContact: 5 Jobs for #Drones in the #FutureofWork https://t.co/q7slDfca1l via MikeQuindazzi by droneii Insights into the #jobs drones and #robots will take in #business in the next wave.  It's not if but when due to the #tec\xe2\x80\xa6 https://t.co/OeeCpZvu18""",b'Solitude Park',0,b'IFTTT', Drones FutureofWork jobs robots business tec
InvestifEye,b'InvestifEye',8/15/2019 18:59,b'@CNBC More robots taking jobs @AndrewYang',b'',0,b'Twitter for iPhone',nan
girardmaxime33,b'Max \xf0\x9f\x87\xab\xf0\x9f\x87\xb7\xf0\x9f\x87\xba\xf0\x9f\x87\xb8',8/15/2019 18:45,"b""RT AndrewinContact: 5 Jobs for #Drones in the #FutureofWork https://t.co/uXuC2UDrti via MikeQuindazzi by droneii Insights into the #jobs drones and #robots will take in #business in the next wave.  It's not if but when due to the #tech, #security &amp; #ROI\xe2\x80\xa6 https://t.co/AvOzzc5JN9""","b'Bordeaux, France'",0,b'IFTTT', Drones FutureofWork jobs robots business tech security ROI
