,text,retweet_count,favorited,truncated,id_str,in_reply_to_screen_name,source,retweeted,created_at,in_reply_to_status_id_str,in_reply_to_user_id_str,lang,listed_count,verified,location,user_id_str,description,geo_enabled,user_created_at,statuses_count,followers_count,favourites_count,protected,user_url,name,time_zone,user_lang,utc_offset,friends_count,screen_name,country_code,country,place_type,full_name,place_name,place_id,place_lat,place_lon,lat,lon,expanded_url,url
7,"Good morning. 
#njspots #toxictins #njshooterz #njisntboring #njhn #wildNewJersey… https://t.co/q7R11FO1eU",0,FALSE,FALSE,8.06E+17,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",FALSE,Wed Dec 07 09:49:46 +0000 2016,NA,NA,en,12,FALSE,"New Jersey, USA",297429060,"Social Media Guru, Comunication & Graphic Designer, Photographer, Human",TRUE,Thu May 12 14:09:09 +0000 2011,3072,244,5,FALSE,http://www.franciscobetances.com,Francisco Betances,Quito,en,-18000,160,FBetance5,US,United States,city,"Mercerville, NJ",NA,NA,40.2279285,-74.703982,40.23649404,-74.71785741,http://fb.me/1vMVgkYg7,https://t.co/q7R11FO1eU
15,@DinaPugliese Good morning Dina :) Have a terrific hump day! :) Little snowy in Cochrane today. https://t.co/P3j1dtUs6y,0,FALSE,FALSE,8.06E+17,DinaPugliese,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FALSE,Wed Dec 07 09:49:49 +0000 2016,8.06E+17,147966474,en,19,FALSE,Cochrane,43901213,I run a homeless shelter for men in Cochrane Ont. As a hobby I do railroad themed photography which is featured on http://onrgallery.com. Also a big BT fan :),TRUE,Mon Jun 01 15:16:28 +0000 2009,7548,298,3768,FALSE,http://www.onrgallery.com,Mike (Mikey) Robin,Quito,en,-18000,296,onrgallery,CA,Canada,city,"Cochrane, Ontario",NA,NA,49.1453315,-81.0739215,NA,NA,NA,NA
18,#good morning everyone. https://t.co/u6W1jI4tKz,0,FALSE,FALSE,8.06E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FALSE,Wed Dec 07 09:49:49 +0000 2016,NA,NA,en,10,FALSE,NA,2436495827,my father said that a true test of a mans character is how he handles adversity. God is good.,TRUE,Tue Mar 25 20:50:17 +0000 2014,5862,178,1067,FALSE,NA,Larry Bates <ed><U+00A0><U+00BD><ed><U+00B8><U+008E>,NA,en,NA,229,larrybates15,US,United States,city,"Lawrence, IN",NA,NA,39.8703975,-85.996819,NA,NA,NA,NA
21,@monieke71 @SomenHalder6 good morning my friends,0,FALSE,FALSE,8.06E+17,monieke71,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FALSE,Wed Dec 07 09:49:51 +0000 2016,8.06E+17,3221206114,en,53,FALSE,France,2555415841,My favorite singer@enriqueiglesias followed me on IG and @redone that I adore on twitter.THANK YOU. <ed><U+00A0><U+00BD><ed><U+00B2><U+0096>latin music.Pitbull.PRoyce. Wisin Yandel.GdZ.Piso21.JMagan,TRUE,Sun Jun 08 19:54:41 +0000 2014,123574,1058,58074,FALSE,http://Instagram.com/VIVIANE6677,viviane,Pacific Time (US & Canada),fr,-28800,559,Viviane6677,FR,France,city,"Combs-la-Ville, France",NA,NA,48.6601765,2.5766545,NA,NA,NA,NA
33,"Good morning Abuja,it breakfast time @pastry &amp; Eatery Corner.",0,FALSE,FALSE,8.06E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",FALSE,Wed Dec 07 09:50:00 +0000 2016,NA,NA,en,0,FALSE,"4 Ubiaja Crescent, Garki ll, Abuja. 08079699171.",7.78E+17,NA,TRUE,Sun Sep 18 17:15:34 +0000 2016,53,56,0,FALSE,NA,Pastry&EatryConer,Pacific Time (US & Canada),en,-28800,366,PastryEatryCon1,NG,Nigeria,admin,"Federal Capital Territory, Nigeria",NA,NA,8.9424835,7.253046,NA,NA,NA,NA
36,Good morning all!!!!!! x,0,FALSE,FALSE,8.06E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",FALSE,Wed Dec 07 09:50:01 +0000 2016,NA,NA,en,44,FALSE,"Stamford, England",36192464,"Single Gay lad, that loves cycling and the hot gear that goes with it :)",TRUE,Tue Apr 28 21:39:07 +0000 2009,31812,1220,5786,FALSE,http://www.gordon-valentine.com/,Gordon S Valentine,London,en,0,748,gsvalentine,GB,United Kingdom,admin,"East Midlands, England",NA,NA,52.796791,-0.8380555,NA,NA,NA,NA
69,Good morning @jasonmohammad @BBCRadioWales I love my #vinyl a collection of 20/30/40 thanks to my lovely grandfathe… https://t.co/G6R1k4mj1O,0,FALSE,TRUE,8.06E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,Wed Dec 07 09:50:17 +0000 2016,NA,NA,en,22,FALSE,WALES uk,19449820,"proud Daddy, award winning DJ tutor,Radio Pesenter @ radiocardiff. From RCT The Valleys ;-)",TRUE,Sat Jan 24 15:24:50 +0000 2009,7221,4039,707,FALSE,NA,Martin Dibble,Lisbon,en,0,2352,MartinDibble,GB,United Kingdom,city,"Ystrad, Wales",NA,NA,51.640925,-3.4620435,NA,NA,https://soundcloud.com/djopensource/the-real-dragonwarrior,https://t.co/G6R1k4mj1O
80,"@TetleysTea Good Morning Mrs H, have a lovely day. <ed><U+00A0><U+00BD><ed><U+00B8><U+0098><ed><U+00A0><U+00BD><ed><U+00B0><U+00BE><ed><U+00A0><U+00BC><ed><U+00BE><U+0084> https://t.co/KboyjOjeM1",0,FALSE,FALSE,8.06E+17,TetleysTea,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,Wed Dec 07 09:50:25 +0000 2016,NA,588472087,en,32,FALSE,"South Wales, U.K.",394958836,"Love ALL animals!,Mum to Mylo and GSD lover, Motorhome! Avi is of Blue who passed away. he was so brave but Cancer won.Sleep Well Blue, we all loved you.<ed><U+00A0><U+00BD><ed><U+00B8><U+0087><ed><U+00A0><U+00BD><ed><U+00B8><U+0098>",TRUE,Thu Oct 20 22:10:39 +0000 2011,24315,2411,30461,FALSE,NA,Lyn: CRAZY GSD MUM!!,NA,en,NA,2537,smartsog,GB,United Kingdom,city,"Cardiff, Wales",NA,NA,51.4970015,-3.1798,NA,NA,NA,NA
130,"GOOD MORNING!
Seen on Facebook:-
Michelle Tomboc: ""Glitter - the herpes of craft supplies.""",0,FALSE,FALSE,8.06E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",FALSE,Wed Dec 07 09:50:39 +0000 2016,NA,NA,en,96,FALSE,Toronto,309133346,"Assoc.Editor @Abyss_Apex. Prize winning poet. Fic, Nonfic: @malahatreview, @PstDarkness 6, Expanded Horizons. Longlisted '15 Carter V Cooper (Vanderbilt) Prize.",TRUE,Wed Jun 01 15:51:09 +0000 2011,40474,1445,22139,FALSE,http://www.Spiderlilly.com,Tonya Liburd,Eastern Time (US & Canada),en,-18000,3043,somesillywowzer,CA,Canada,city,"Toronto, Ontario",NA,NA,43.629311,-79.2725695,NA,NA,NA,NA
