User Name,Tweet Created At,Tweet Text,User Location,Retweet Count,Polarity,Subjectivity
The Federal,7/21/2019 5:59,"for the lander to have a full life of one lunar day, that is 14 days, it has to touchdown as intended previously, on september 6, 2019, precisely when the designated landing point at the moon experience the sunrise. chandrayaan2 ","Chennai, India",2,0.19444444444444445,0.5055555555555555
Dhruv Rathee,7/21/2019 5:59,"newspaper from exactly 50 years ago - july 21st 1969 nice coincidence that chandrayaan2 mission tomorrow will almost be at the 50th anniversary of the first moon landing, when neil armstrong set foot on the moon 🌙 ",nan,545,0.275,0.3958333333333333
Rathan Ramesh Poojary ( RRP ),7/21/2019 5:47,"tomorrow will be a proud moment for all of us.technical glitches fixed, rehearsal successful,countdown starts.wishing all the best , vikram pragyan n let's all pray for success of chandrayaan2 which is daring to land on south pole of moon first time ever ",Kundapura/Malllleshwaram ,0,0.48999999999999994,0.36666666666666664
Hindustan Times,7/21/2019 5:46,chandrayaan2 launch vehicle’s rehearsal completed: ,India,20,0.0,0.0
Sankit,7/21/2019 5:46, the url for registration doesn’t work. good luck with the launch though chandrayaan2,Ahmedabad,0,0.7,0.6000000000000001
RN Mukesh Kumbhar,7/21/2019 5:44,"as told by chandrayaan-2 launch, which was called off due to a technical snag on july 15, 2019, is now rescheduled at 2:43 pm ist on monday, july 22, 2019. chandrayaan2 gslvmkiii isromissions 🇮🇳🇮🇳❤️❤️","Orissa, India",0,-0.0625,0.2375
DG Seaconnect,7/21/2019 5:42,all the very best from dgseaconnect to isro for india’s second mission to the moon ! sending our best wishes to team isro ! indianmissionmoon chandrayaan2 isro isromission chandrayan2 space universe earth drdo indiansatellite astronauts moon bestwishes ,"Dahej, India",0,0.6666666666666666,0.22999999999999998
TV Venkateswaran,7/21/2019 5:41,chandrayaan2 liftoff sequence commences ,"vigyan prasar New Delhi, India",1,0.0,0.0
Soumya Sarkar,7/21/2019 5:37,"isro has said its expert committee had identified the problem and applied corrective measures, and that the system was now functioning normally. chandrayaan2 is now set to launch on monday ",New Delhi,0,0.15,0.6499999999999999
Double Sri² फ़क़ीर,7/21/2019 5:36, good luck chandrayaan2 (just stay away from panauti modi) ,nan,0,0.7,0.6000000000000001
Kumar R M,7/21/2019 5:33," wishing every success to the mission chandrayaan2 ahead of the scheduled launch on july 22, 2019.","Bengaluru, India",0,0.3,0.0
