Screen Name,User Name,Tweet Created At,Tweet Text,User Location,Retweet Count,Phone Type
Doctor_Astro,Dr. Anita Sengupta,7/21/2019 23:30,"T minus 10 hours to liftoff #Chandrayaan2. Back at home after flying the @cessna, ready for pre-launch coverage taping. #indiatothemoon https://t.co/GJ87D7u6sY",Alpha Quadrant,0,Twitter for Android
DrChips_SSLguy,Dr. Chips,7/21/2019 23:28,"@isro God speed, #Chandrayaan2! The moon awaits you.", MA USA,0,Twitter for iPhone
lalmandal,Lal Bahadur Mandal,7/21/2019 23:27,I wish best to #ISRO for its flight of #Chandrayaan2 to moon this PM. I have no doubt it shall be a successful mission. God bless everyone involved in this project.,"Brighton, England",0,Twitter for iPhone
TheQuint,The Quint,7/21/2019 23:25,"India’s second Moon mission will be one of the first space mission to be headed by women in India.
#Chandrayan2 #Chandrayaan2

https://t.co/ktWHUmDWgB",,8,TweetDeck
iTheDesiMan,RK,7/21/2019 23:20,All the best #Isro #Chandrayaan2 https://t.co/5LvqWu97Mp,United States,0,Twitter Web App
SriSayzz,Srijanee,7/21/2019 23:14,#Chandrayaan2 fly away to the moon. #PrideOfIndia https://t.co/cDxvk3z1qr,,0,Twitter for Android
MARTANDJ,MARTAND  JHA,7/21/2019 23:12,My latest. I write in @dna today about the relevance of India's LunarMission 2 which is scheduled for its launch at 14.43pm later today from Sriharikota #Chandrayaan2 #ISROMissions #ISRO @isro https://t.co/5BO20PEvKj,"ROHINI,NEW DELHI,INDIA",0,Twitter for Android
Imthumma,Sharath Thumma,7/21/2019 22:46,"Good morning @isro 
Very all the best #Chandrayaan2 we all Indians are very sure this #Chandrayan2 #GSLVMkIII 🚀 will be a big success. 
Jai hind 🇮🇳",India,0,Twitter for iPhone
htTweets,Hindustan Times,7/21/2019 22:45,"‘Technical snags rectified’, says ISRO chief ahead of #Chandrayaan2 launch

https://t.co/Cak4Qtr5wX https://t.co/1BdMePzQlb",India,0,TweetDeck
OfficeOfTanisha,Tanisha Gupta,7/21/2019 22:44,"Today, #Chandrayaan2 is going to be launched from #GSLVMkIII to understand the origin and evolution of moon. A day India will be very proud of. 🇮🇳 Eagerly waiting for the launch. 

#ISROMissions #Chandrayaan #ISRO",India,3,Twitter for Android
sympare,Sympare,7/21/2019 22:32,#Chandrayaan2 to lift off from Sriharikota at 2:43 pm,,0,Twitter Web App
dilipkjena,Dilip,7/21/2019 22:30,Waiting for the launch. #Chandrayaan2 https://t.co/WAv0aLSLHN,"Scotland, United Kingdom",0,Twitter for Android
PappuSya,⚽PApPu 🏏KaRtHiK💪,7/21/2019 22:30,"🇮🇳 #ISROMissions 🇮🇳
The launch countdown of #GSLVMkIII-M1/#Chandrayaan2 commenced today at  1843 Hrs IST. The launch is scheduled at 1443 Hrs IST on July 22nd.
More updates to follow... https://t.co/S7n8xRKeK7 https://t.co/26JA0cCRyk",Malaysia,0,Twitter for Android
Astroguyz,Dave Dickinson,7/21/2019 22:24,Tomorrow morning: it's take two for the launch of an ISRO GSLV Mk III rocket from the Satish Dhawan Space Center in India with the #Chandrayaan2 lunar mission - liftoff is set for 9:13 UT/5:13 AM EDT - webcast:   https://t.co/sH9RxtkgZa,"Current Base Camp: Norfolk, Virginia (UT-4)",2,TweetDeck
manoj100001,Manoj Kumar,7/21/2019 22:23,"Best of luck, full faith in my scient, #Chandrayaan2 is all set for 22 Jul at 02:43 IST https://t.co/zY2oFRsYH0",India,0,Twitter for Android
RejusBabu,Rejus Babu,7/21/2019 22:15,Fueling up! For a long drive. #GSLVMkIII #Chandrayaan2 #ISRO #ISROMissions https://t.co/tCSajMciQD,"Tampa, FL",0,Twitter for iPhone
SlumSwaraj,Slum Swaraj Foundation,7/21/2019 22:03,"We wish #isro all the best for its ambitious quest of the South pole of the #Moon 🌒. Will be the only country to do so.
Today will be a big day for #India
#Chandrayaan2 https://t.co/UmQMxPUHjz","Noida, India",1,Twitter Web App
deepchand77,Deep Chand,7/21/2019 21:51,"#Chandrayaan2 is going to be launched from #GSLVMkIII to understand the origin and evolution of moon
 #Chandrayan2 https://t.co/7xgrYDonUV","Ludhiana, Punjab (India)",0,Twitter for Android
1Hemanttiwari,Hemant Tiwari,7/21/2019 21:49,"Technical snags rectified, says @isro chief ahead of #Chandrayaan2 launch this afternoon. @",Lucknow ,0,Twitter for Android
htTweets,Hindustan Times,7/21/2019 21:45,"‘Technical snags rectified’, says @isro chief ahead of #Chandrayaan2 launch

https://t.co/Cak4Qt9uFp https://t.co/O8HjVfchBu",India,5,TweetDeck
deepchand77,Deep Chand,7/21/2019 21:44,"New governor of Uttar Pradesh ~ Anandiben Patel

Governor of Jammu &amp; Kashmir~ #SatyapalMalik

#MondayThoughts
#Chandrayaan2 https://t.co/uyieCeimnc","Ludhiana, Punjab (India)",1,Twitter for Android
SonarKishore,kishoresonar,7/21/2019 21:43,"Yet another ""Ashwamedha"" Horse-#Chandrayaan2,set for #missionmoon to sing ""sare jahan se achha,hindusthan hamara"".Unstoppable #ISROteam ,you are pride of the country as well as of the world. Best wishes @isro.",India,0,Twitter for Android
_silent__eyes_,Pooja Singh,7/21/2019 21:43,@isro Finally...✌✌#chandrayaan2 is all set and now is trending all over India... Can't express how proud we Indians are feeling right now... Can't wait to see the mission being successfully complete... All the very best @isro and we are always proud of you and your work...  😊😊,,0,Twitter for Android
BhattNaturally1,💡🤔 Think 🙄,7/21/2019 21:38,@realDonaldTrump @netanyahu 🇮🇳❤️🇮🇱 India Stands With Israel #IndiaStandsWithIsrael #Israel #ISROMissions #Israeli #Jews #GoldenGirl #GSLVMkIII #LoveIsland #EXOSC #KAIHUN #PMIKInUSA #chennairains #Chandrayaan2 #MAGA2020 #Thor  #NarendraModi #NARUTOなりきりさんと繋がりたい  #peacetoprosperity #technews,Earth For Now...,0,Twitter for Android
jigaryadav93,papa ka para,7/21/2019 21:37,Exited about chandrayan 2 ? I have a dream to see a sequence launch live some day  #Chandrayaan2,Ahemadabad,1,Twitter for Android
awadheshkatiyar,Awadhesh Kumar Katiyar,7/21/2019 21:36,@isro Best wishes for the #Chandrayaan2  mission.,"Boston, MA",0,Twitter for Android
rjadityad,MirchiRJAditya,7/21/2019 21:31,"Sir @mjfree #MorganFreeman have you ever met him who seems to me your total lookalike in #Nigeria and even won #NobelPrize in Literature...is it true what they say,there are 7 people with same face🤔

#PriyankaChopra #Chandrayaan2 #Rajnikanth https://t.co/JBEX7NEGJR","Punjab, India",0,Twitter for iPhone
abhisri02,Abhishek Srivastava,7/21/2019 21:30,All the best @isro #ISROMissions #Chandrayaan2 https://t.co/9DVBSAF6dY,"London, England",1,Twitter for iPhone
choudhary3392,Bharat Choudhary,7/21/2019 21:24,"#Chandrayaan2
India's another milestone🇮🇳🇮🇳
@isro @MarsOrbiter https://t.co/C9i86Ts5EZ","Jaipur, India",0,Twitter for Android
jaikukki,Jay Kukkillaya,7/21/2019 21:13,"#India is ready to send #Chandrayaan2 to the #Moon , but  things like this are still happening.  It's really gut wrenching to see this  @narendramodi @pmo @KirenRijiju @smritiirani Will you #please do something ? This is against basic human dignity &amp; should not &amp; never happen ! https://t.co/BisurjkKoF",United States,0,Twitter for Android
DrunkenMave,Maverick,7/21/2019 21:13,"T-Minus 12:00:00 and Counting. 
#Chandrayaan2 #GSLVMkIII",🇮🇳,0,TweetDeck
_shubh98,Shubham Rai,7/21/2019 21:11,Thanks to @isro For this moment. Launch of #Chandrayaan2 by #GSLVMkIII Crayogenic engine technology. https://t.co/sLpVUwPKaP,India,0,Twitter for Android
juveriaah,𝓙𝓾𝓿𝓮𝓻𝓲𝓪𝓱 🦋,7/21/2019 21:11,"I am excited for #Chandrayaan2 launch!
All The Best ISRO",Shawn Follows ♡,0,Twitter for Android
windowtonews,Window To News,7/21/2019 21:04,"Chandrayaan-2: Countdown for 'Bahubali' rocket take-off going smoothly (Lead) - Window To News https://t.co/kmD7TA8TRa

#Chennai, #Chandrayaan2, #mission, #Launch, #ISRO, #Bahubali, #Science, #Technology,","Bhopal, India",0,Twitter Web Client
iAam1r,Aam1r,7/21/2019 21:04,"9 mins and counting 

#Chandrayaan2",لکھنؤ,0,Twitter for Android
oneoveralpha,Stephen L. Thompson,7/21/2019 20:57,Best of luck to @ISRO for #Chandrayaan2.,"Munderf, PA",0,Twitter Web App
LeftoverHindus,🌍🌏,7/21/2019 20:48,"The 3.8-tonne spacecraft of #Chandrayaan2 will carry

an orbiter,

a lander named Vikram, which will soft land on the unexplored south pole of the moon, and

a rover named Pragyan, which will move around on the lunar surface for 14 earth days.","Leftover हिन्दू, Leftover भारत",0,Twitter for Android
Sanket_thinks,Sanket Sadavarte,7/21/2019 20:46,"All the best @isro 
#Chandrayaan2
#NewProfilePic","Pune, India",0,Twitter for Android
TV9Telugu,TV9 Telugu,7/21/2019 20:41,"#ISRO fixes GSLV MK-3 cryogenic engine glitch, #Chandrayaan2 countdown begins

For more :https://t.co/YimXR5WFEW

https://t.co/Mo57hcXckA","Hyderabad, Telangana, India",0,Twitter Web Client
sujan925,Mahidul Islam(Sujan),7/21/2019 20:41,"Everything is ready for the launch of #Chandrayaan2 
BEST OF LUCK @isro
 #TeamISRO for #MoonMission2 #india https://t.co/Qjz5eJB4jW",India,0,Twitter Web App
asrampurnaikin,Adv.Anil Singh,7/21/2019 20:40,Hope today the launch of #Chandrayaan2 will be successful. 🙏,India,1,Twitter for Android
pratik_314,Pratik Tayshete,7/21/2019 20:37,The day has finally arrived. Can't wait to see the launch. #Chandrayaan2 #ISRO https://t.co/lNyd0iqpt5,"Mumbai, India",0,Twitter for Android
TV9Telugu,TV9 Telugu,7/21/2019 20:36,"#Launch rehearsal of #Chandrayaan2 mission completed
For more :https://t.co/YimXR5WFEW
https://t.co/nWpHFJVfl9","Hyderabad, Telangana, India",0,Twitter Web Client
TV9Telugu,TV9 Telugu,7/21/2019 20:30,"#Chandrayaan2 mission: #Countdownbegins, launch at 2:43 pm on Monday
For more :https://t.co/YimXR5WFEW
https://t.co/VfN5oF2jKA","Hyderabad, Telangana, India",0,Twitter Web Client
Chetan_Detox,Chetan Contractor,7/21/2019 20:30,"Best wishes to @isro.  #Rover landing on the moon, A make in india bringing pride to the entire nation.
#Chandrayaan2 #ISRO #ISROMissions #Chandrayaan2theMoon https://t.co/GsGT1yjNLi","Surat, India",0,Twitter for Android
sumit5798,Sumit singh,7/21/2019 20:19,Best of Luck! #Chandrayaan2,,0,Twitter Web App
harshit_bana,Harshit Bana,7/21/2019 20:19,"Check out my new Video here 👇
https://t.co/OBgKTjSPJB 
#GSLVMkIII #Chandrayaan2 #ISRO",India,0,Twitter for Android
ImAbhisekRajput,Adv. Abhishek Rajpoot🇮🇳,7/21/2019 20:14,"ISRO set to take a billion dreams for a soft landing on  the south pole of the Moon and a rover roll-out.
Heard Launch rehearsal completed. Countdown of #GSLVMkIII-M1/#Chandrayaan2 has commenced.
Blast off at 1443 Hrs IST. 

Full confidence in team ISRO.👍
#Chandrayaan2 https://t.co/tokALQ7Rcw","New Delhi, India",3,Twitter for iPhone
Tusharp22939627,Tushar patel🇮🇳,7/21/2019 20:12,@isro 13 hr 1 minutes left go team isro #Chandrayaan2 #TeamISRO best luck count down started🇮🇳,,0,Twitter for Android
I_BalbeerSingh,Er.  Balbeer Singh Danu,7/21/2019 20:10,"@isro Wants everyones support to #ISRO  globally!

#Chandrayaan2 #GSLVMkIII #ISROMissions",On Earth (For Now) Next Mars,0,Twitter for Android
patilkrishna245,Krishna Patil Gokul,7/21/2019 20:08,"#India’s lander mission to moon #Chandrayaan2 all set to take off today afternoon, at 2.43 pm. 
#Chandrayaan2theMoon #ISRO #ISROMissions https://t.co/pXeIVGfnC9","Basavakalyan, India",0,Twitter for Android
ImSatyamraj,Satyam Raj,7/21/2019 20:07,"Don't forget July 22nd, 12 PM.
""chandrayaan 2""
 ""resumes""
✌✌✌✌✌✌✌✌✌✌✌✌✌✌✌
@isro #Chandrayaan2 #chandrayaan #ISROMissions 
🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏",INDIA,0,Twitter for Android
BJP93Rohit,Rohit Nalavade,7/21/2019 20:07,Launch rehearsal #GSLVMkIII-M1 / #Chandrayaan2 mission which will be launched at 2:43 pm on July 22 completed : @isro https://t.co/a1asCnrTOE,Malwadi Ta Palus Distri Sangli,0,Twitter for Android
antarikshaindia,Antariksha,7/21/2019 20:03,"Filling of N204 for the liquid core stage (L110) of #GSLVMkIII-M1 commenced
#Chandrayaan2 #ISRO
 Updates will continue..... -isro",,0,IFTTT
Rahulurkude02,Rahul urkude,7/21/2019 20:03,"One step ahead
@isro

#Chandrayaan2","Manpur, India",0,Twitter for Android
adityakumar480,Aditya Saha,7/21/2019 20:00,@isro All the best guys. #Chandrayaan2,"Bangalore , India",0,Twitter for Android
pvkrajuv,Venkata Penumatsa,7/21/2019 19:58,@isro Yup ....Hope for the best. Kudos to all the ISRO staff who are working this late night. Your hard work will be appreciated by whole country . JAI HIND JAI BHARAT     🚀 🇮🇳 #Chandrayaan2 #GSLVMkIII,"Hyderabad, Andhra Pradesh",1,Twitter for iPhone
Deepthi_iam,Ⓓⓔⓔⓟⓣⓗⓘ,7/21/2019 19:57,"@isro Best of luck 🇮🇳
#Chandrayaan2 #ISRO",India🇮🇳,0,Twitter for Android
TamilAiadmk,Mr Politician🌱😎,7/21/2019 19:56,"Filling of N204 for the liquid core stage (L110) of #GSLVMkIII-M1 commenced
#Chandrayaan2 #ISRO
 Updates will continue.....",Ukarine,0,Twitter for Android
anshumina,A RAM,7/21/2019 19:56,"A very Energetic congratulations #ISROMissions
#ISROIndia’s second space mission to the moon, #Chandrayaan2 is led by two women scientists of @isro , a first in India’s history! Sending my best to the rocket women and #ISRO team, more power to you! 
#Chandrayaan2 
#ISRO https://t.co/rJGVVdqnoX","Karauli, India",0,Twitter for Android
isro,ISRO,7/21/2019 19:55,"Filling of N204 for the liquid core stage (L110) of #GSLVMkIII-M1 commenced
#Chandrayaan2 #ISRO
 Updates will continue.....",Bangalore,928,Twitter Web App
bdsaguing,belarmino d saguing,7/21/2019 19:54,"#India's #Chandrayaan2 is now due to launch on Monday

https://t.co/q21GKkKfsD https://t.co/q21GKkKfsD","Rome, Italy",0,Facebook
sanjaync2011,sanjaync,7/21/2019 19:51,"#Chandrayaan2 
Wishing about this mission ,
Hope we should reach man on Mars before #NASA
#indianmanonmars
@isro @MarsOrbiter @narendramodi @airnewsalerts @tv9kannada @akshaykumar",,0,Twitter for Android
jalkoteashitosh,Ashitosh Jalkote ,7/21/2019 19:49,My best wishes to @isro for #Chandrayaan2 .. we're all waiting for this moment to come and it's just few hours away.. you all r making country proud 🇧🇴🇧🇴🇧🇴😊,"Boisar , Maharastra ",0,Twitter for Android
ayushee_17,Ayushee,7/21/2019 19:48,Hoping for a closer shot of this night beauty soon. (#fingerscrossed) All the best team @isro #Chandrayaan2 https://t.co/xbyjEmavvW,,0,Twitter for Android
vikrameffects,✳️AAP Ka Vikram✳️,7/21/2019 19:47,@isro @akshaykumar Stop wishing a Canadian. Focus on the Indian mission. #Chandrayaan2,India,4,Twitter for Android
igneouznayan,U.N.S.,7/21/2019 19:46,To the moon and back !!  India leading #Chandrayaan2,Chennai,0,Twitter for iPhone
Pushpakjain77,Chowkidar Shanklecha,7/21/2019 19:46,@isro On the Way to Witness the historical moment ! thank you @isro for allowing General public to witness ! #Chandrayaan2 @narendramodi @TrichyCorp https://t.co/wQ1KxtG4uW,"TRICHY,TAMILNADU",0,Twitter for Android
shashwattiwari1,Shashwat Ewamastu,7/21/2019 19:42,@isro Fingers crossed for another feather in the cap 😊 #Chandrayaan2,"Mumbai, Maharashtra",0,Twitter for Android
raghukanakuppe,Dr.K.V.Raghavendra Swamy,7/21/2019 19:42,"launch countdown of GSLVMkIII-M1/#Chandrayaan2 commenced today at  1843 Hrs IST The launch is scheduled at 1443 Hrs IST on July 22nd.
More updates to follow...The launch countdown of #GSLVMkIII-M1/#Chandrayaan2 commenced today at  1843 Hrs IST. The launch is scheduled 1443 Hrs https://t.co/JVNV2boPXf",Jagalur,0,Twitter Web Client
raghukanakuppe,Dr.K.V.Raghavendra Swamy,7/21/2019 19:40,"launch countdown of GSLVMkIII-M1/#Chandrayaan2 commenced today at  1843 Hrs IST The launch is scheduled at 1443 Hrs IST on July 22nd.
More updates to follow...The launch countdown of #GSLVMkIII-M1/#Chandrayaan2 commenced today at  1843 Hrs IST. The launch is scheduled 1443 Hrs",Jagalur,0,Twitter Web Client
RT_com,RT,7/21/2019 19:40,#India's #Chandrayaan2 is now due to launch on Monday https://t.co/nD0wqNnH4L,,41,TweetDeck
Boy5Lone,LoneBoy5,7/21/2019 19:39,"DM ME I REALLY WANT TO TALK TO SOMEONE
FEELING LONELY😔 #AvengersEndgame 
#seduce
#Chandrayaan2",,0,Twitter for Android
nillll,Nilesh Patel,7/21/2019 19:39,"Countdown begins for #Chandrayaan2. 

All the best @isro Team!!

#MoonMission https://t.co/rv2gZVZWHj",India,0,Twitter for iPhone
narendershooda,Narender Hooda,7/21/2019 19:39,@DeependerSHooda @isro @isro best of luck for new hope #Chandrayaan2 to moon it's a national proud moment @DeependerSHooda  we should to back &amp; support to build our nation World prosperous society again @BhupinderSHooda @narendramodi @NASA @DrSJaishankar @nytimes @globaltimesnews @Reuters @realDonald,Rohtak ,0,Twitter for Android
GuptaHm666572,Himanshu Gupta,7/21/2019 19:37,"#Countdown again ..Chandrayaan 2 is ready to take a billion dreams with billion best wishes to the Moon .. Monday — 22 July, 2019 — at 2:43 PM IST.
#ISROFLYHIGH.
 #Chandrayaan2 #GSLVMkIII #ISRO https://t.co/L6ttlYrxnp https://t.co/w5JHLuC86G","Jammu, Jammu And Kashmir",0,Twitter for Android
KartikBhandage,Kartik S Bhandage,7/21/2019 19:33,"Wish you all the best team @isro 
Success is our birth right. 
#Chandrayaan2 
#GSLVMkIII 
#JaiHind https://t.co/p5YmsppYOu",भारत ,0,Twitter for Android
PrashantKr99,¶Prashant,7/21/2019 19:31,"New day new history @isro
#Chandrayaan2 
#MakeADayGreat https://t.co/hEu7ydlrBw","Nalanda, India",0,Twitter for Android
balarambandlaa,Balaram Bandla,7/21/2019 19:30,"#Chandrayaan2 India's another milestone !! @isro #GSLVMkIII 
All the best @isro https://t.co/t9PDeufk6C","विजयवाड़ा, भारत",1,Twitter for Android
Capt_SurajYadav,Capt. Suraj Yadav,7/21/2019 19:30,"#Chandrayaan2 22.07.2019

Stay tuned for the victory tune.

India 🇮🇳 reaching for the Moon 🌓.

Very very soon.

Today will be ‘Moonday’ instead of the usual Monday for all #ProudIndian 

#GSLVMkIII #ISRO #ISROMissions #MissionMangal  #spacemission","Gurgaon, Haryana",1,Twitter for iPhone
vshalsinh,Vishalsinh Vaghela,7/21/2019 19:29,"Yes Yes! #MondayMotivation #Chandrayaan2 #ISRO #India 
All the best 🙃
#Karnavati #Ahmedabad",Sabarmati,0,Twitter for Android
manish_sharma81,Manish,7/21/2019 19:26,"@isro @isro #TeamISRO 
We all #Indians are praying for this successful mission of #Chandrayaan2 it will become another milestone like #MissionMangal 
@akshaykumar 
🌠🌌🌄🕹🇮🇳🇮🇳🇮🇳","Dubai, United Arab Emirates",0,Twitter Web App
its_s20,s.,7/21/2019 19:26,"Countdown begins.! All the best #ISRO for #Chandrayaan2 ❤

@isro https://t.co/4JjxoJnunu","Kolkata, India",0,Twitter for Android
MukanufK,Mukanuf kamil,7/21/2019 19:26,"India is set to explore the unknown, few hours from the historic launch of #Chandrayaan2 . I hope #Modi don’t gets credit for this by His we’ll known BJP spokes persons @ArnabGoswamiRtv @anjanaomkashyap @sudhirchaudhary @RubikaLiyaquat . https://t.co/KwnYbcIj4X","Hyderabad, India",0,Twitter for iPhone
entrepramar,Amar Pratap Singh,7/21/2019 19:25,"Hey @isro, this time will u also pls take along @moonchakra, super excited to reach moon at earliest. Proud moment on the way #Chandrayaan2 #MissionMangal https://t.co/TIr4GMWpy6",India,0,Twitter for Android
Kalkiavtarr,Gary🇮🇳,7/21/2019 19:24,All the best @isro for mission #Chandrayaan2 https://t.co/N5FtcOiwjw,Near by MilkyWay Galaxy,0,Twitter for Android
RSR_MeriDuniya,R.Sudha Rani,7/21/2019 19:23,"Where ever U R #ArnabGoswami ji
I Guess Ur Dil💕 is at @republic
what ever U do success meets U always
👉But #MrSher Ur missing lots of Fun 😂 as #Gulugulu Journalism is taking place
👉Without U #Karnataka89crisis is not seems to be ended.
👉#Chandrayaan2 reschedule to 22/july🚀 https://t.co/mY40zmLwZ3",hyderabad,1,Twitter for Android
darshanarane,Darshana,7/21/2019 19:21,All eyes on you now #ISRO #Chandrayaan2,,0,Twitter Web App
Ravikan19613309,seculartva,7/21/2019 19:20,"How a private company like #spaceX can bulit such a powerful rocket in just a few years nd isro can't, why can't we build stronger launch vehicles. We have money nd brain. Wt is stopping us #Chandrayaan2",,1,Twitter for Android
YSRaghuvanshy,Yashvendra Singh Raghav 🇮🇳,7/21/2019 19:19,"🇮🇳 #ISROMissions 🇮🇳
The launch countdown of #GSLVMkIII-M1/#Chandrayaan2 commenced today at  1843 Hrs IST. The launch is scheduled at 1443 Hrs IST on July 22nd. https://t.co/Y7lMKPbD0y",India,0,Twitter for Android
ParagKalantri,Parag Kalantri,7/21/2019 19:18,"Today our very own will be seeing Chandrayaan 2 launch from heaven The one and only APJ Abdul Kalam sir. We miss you sir
#isro #Chandrayaan2 #GSLVMkIII #missionchandra 🇮🇳🇮🇳🇮🇳
Vande Mataram
@isro","Hyderabad, India",0,Twitter for Android
aaliyavatsla,Aaliya Theos Glambert,7/21/2019 19:17,#Chandrayaan2 is the pride of India. Of course there are other pressing matters which need urgent attention but an achievement is an achievement. India is reaching out to the moon for the second time. Wow! https://t.co/lAMoz1fneJ,"New Delhi, India",0,Twitter Web App
ParagKalantri,Parag Kalantri,7/21/2019 19:17,"@isro Today our very own will be seeing Chandrayaan 2 launch from heaven The one and only APJ Abdul Kalam sir. We miss you sir
#isro #Chandrayaan2 #GSLVMkIII #missionchandra 🇮🇳🇮🇳🇮🇳
Vande Mataram
@isro","Hyderabad, India",1,Twitter for Android
YSankh,Yash Sankhe,7/21/2019 19:16,"@isro All the best to team ISRO for Chandrayan 2 Launch. Eagerly waiting for tomorrow. 
#ISROMissions #Chandrayaan2  #GSLVMkIII #ISRO","Mumbai,India",0,Twitter for Android
techie_fiber,Techie Fiber,7/21/2019 19:13,"#Chandrayaan2 is going to launch in a few hours. Here's an article I wrote about what makes this mission so inspiring!! All the best to #ISRO!!  #ISROMissions 

https://t.co/igs4pZLLv9",,0,Twitter Web App
Soumenduu_RC,soumendu RC 🇮🇳,7/21/2019 19:13,@isro Go #Chandrayaan2 .dare mighty things ahead,India,0,Twitter for Android
latestly,LatestLY,7/21/2019 19:12,"#Chandrayaan2 Launch: Countdown Begins For India's Second #MoonMission Set To Be Launched Today
#GSLVMKIII #ISRO #Chandrayaan1 #Bahubali
https://t.co/ir8canMRBy","Mumbai, India",0,Twitter Web App
ImDebjitMondal,Debjit Mondal,7/21/2019 19:11,Best wishes to @isro  #Chandrayaan2,Mugberia,0,Twitter Web App
ca_minesh,Minesh kumar,7/21/2019 19:11,"#women leading to moon
#Chandrayaan2 https://t.co/Jv6VAj3sDc",,1,Twitter Web App
debaprasadsah10,Debaprasad Sahoo😎😎😎,7/21/2019 19:10,"Chandrayaan 2 is ready to take a billion dreams to the Moon — now stronger than ever before! Chear Up for the launch on Monday — 22 July, 2019 — at 2:43 PM IST.
The Countdown Starts Now..
 #Chandrayaan2 #GSLVMkIII #ISRO https://t.co/J2iJRQ6nhL","At/Po/Ps-Rajnagar,Kendrapara,O",0,Twitter for Android
PiluMuley,Prafull,7/21/2019 19:09,"🇮🇳 #ISROMissions 🇮🇳
The launch countdown of #GSLVMkIII-M1/#Chandrayaan2 commenced today at  1843 Hrs IST. The launch is scheduled at 1443 Hrs IST on July 22nd. https://t.co/1xQeSO5YXJ","Aurangabad, India",0,Twitter for Android
MarishMkm,M K Marish,7/21/2019 19:09,"Today India biggest history in worldDate
I hope salute to @isro an teams
Proud to be India scientist
#Chandrayaan2 the one one Indians salute the that time https://t.co/uJ3IQQQjKU",coimbatore,0,Twitter for Android
iamrahuldass,ʀΛнUʟ dΛՏ,7/21/2019 19:07,"🇮🇳 #ISROMissions 🇮🇳
The launch countdown of #GSLVMkIII-M1/#Chandrayaan2 commenced today at  1843 Hrs IST. The launch is scheduled at 1443 Hrs IST on July 22nd.
More updates to follow...
https://t.co/Z6YvXBQSxG https://t.co/PRwOnNytEp","Dhanbad, India",0,Twitter for Android
InfoSongs,InfoSongs,7/21/2019 19:07,"Team @isro for #Chandrayaan2 💟
Best of Luck👍👍 https://t.co/lm6TSAFnhP","New Delhi, India",0,Twitter for Android
amitbhatt4u,Amit Bhatt,7/21/2019 19:06,"#Apollo 11, 12, and 14 were the biggest #walkability projects in the world with Niel Armstrong and Buzz Aldrin as #pedestrians. 
Hope someday walkability conversation will happen for earth as well, especially in #India 

Pic: @avelleda4 

#Apollo50 #Apollo11at50 #Chandrayaan2 https://t.co/xDJwEGCNqP",Gurgaon,9,Twitter Web App
Scribbles646,David Whitfield,7/21/2019 19:04,"A small painting for the upcoming #Chandrayaan2 Lunar mission, that I did during #Apollo50. https://t.co/GRuR6OyrLI",,0,Twitter Web App
buttervag,Butter,7/21/2019 19:03,"My best wishes to @isro for all success of #Chandrayaan2 ..!

#GSLVMkIII #success #ISROMissions",Belagavi,0,Twitter for Android
Oneindia,OneIndia,7/21/2019 19:01,Chandrayaan-2 Launch: 'Baahubali' to carry India's second moon mission  https://t.co/AGan9avidF #Chandrayaan2,India,0,Oneindia News Eng
Artandjunk,"Dick Lawless, Space Force Command",7/21/2019 19:00,"#ISRO  #Chandrayaan2
So excited for India.  Watching from Missouri, USA!","Missouri, USA",0,Twitter Web App
_yogesh_kashyap,Yogesh kashyap,7/21/2019 19:00,"#Chandrayaan2  is going to be launching next 22 july 2:43 PM, finally ending all waiting. Hopefully this will be a successful way. 
Best whishes for @ISRO  #Chandrayan2 mission. india🇮🇳 on moon.
Once again thanks to #TeamISRO scientists .
#ISROMissions https://t.co/IvrCKeLIda",India,0,Twitter for Android
koiri_mayur,Mayur Koiri,7/21/2019 18:57,"🇮🇳 #ISROMissions 🇮🇳
The launch countdown of #GSLVMkIII-M1/#Chandrayaan2 commenced today at  18:43 Hrs IST. The launch is scheduled at 14:43 Hrs IST on July 22nd.....
..proud moment for us ... https://t.co/eED9vOCoKr","Kolkata, India",0,Twitter for Android
I_amSurabhi,Surabhi Srivastava,7/21/2019 18:57,"As it's 12:30am, it's 22nd July today...A day that's going to be a historical event for us #Indians..
#Chandrayaan2 is going to be launched today!
Wishing &amp; hoping that today will go as per expectations and as planned..
Wishing #ISRO &amp; all of us a very good luck..🇮🇳👍 @isro","Rajasthan, India",0,Twitter Web App
Soumenduu_RC,soumendu RC 🇮🇳,7/21/2019 18:56,@SrBachchan Sir tomorrow we will begin another journey towards moon 14:23 hours #Chandrayaan2,India,0,Twitter for Android
ITarunSarswat,तरुण सारस्वत 🌐,7/21/2019 18:53,Waiting ... For watch great professional drive of #Chandrayaan2 https://t.co/r5Pcbr4JMR,Kuchera (Nagaur),0,Twitter for Android
NKothuluri,ప్రజల పక్షం ✊,7/21/2019 18:52,"All the best.... 😎 
#TeamISRO #Chandrayaan2 
@isro https://t.co/7nsqVm2Y6c","Bengaluru, India",0,Twitter for Android
sanchetd,𝔖𝔞𝔫𝔠𝔥𝔢𝔱 𝔇𝔦𝔤𝔥𝔢 📳,7/21/2019 18:52,The day has dawned — July 22! #Chandrayaan2 launch in around 14 hours... Feeling #excited,"Pune, Maharashtra, INDIA",0,Оwly
