Screen Name,User Name,Tweet Created At,Tweet Text,User Location,Retweet Count,Phone Type
Kartiks48367967,Kartik_singh,7/20/2019 18:30,"@isro Eagerly waiting for this epic moment
#isro #Chandrayaan2","Darbhanga, India",0,Twitter for Android
TylerG1998,Tyler Gray,7/20/2019 18:18,Preparations for the second launch attempt of the #Chandrayaan2 Moon mission are proceeding nominally. @ISRO is currently targeting a liftoff on Monday morning at 5:13 a.m. ET (09:13 UTC). https://t.co/1WnEpHErEf,"Austin, TX",1,Twitter for iPhone
Doctor_Astro,Dr. Anita Sengupta,7/20/2019 18:16,"#Pragyan is the #Chandrayaan2 lunar rover, with only 50 W of power it can travel over 500 meters on the moon's surface to conduct up to 14 days of science operations. @ABPNews @WIONews @MirrorNow https://t.co/X99nNF3hhN",Alpha Quadrant,1,Twitter for Android
bluntJaat,ManN💙,7/20/2019 18:10,"U r our pride @isro #ISRO

We r waiting for #Chandrayaan2 launch with #GSLVMkIII #JaiHind https://t.co/X35KThTPTN",India,0,Twitter for iPhone
B00MShiva,चौधरी साब,7/20/2019 18:08,"@isro Keep your head up because God gives the toughest battles to his strongest and most courageous soldiers...
Best Wishes..
#Chandrayaan2
#GSLVMkIII","New Delhi, India",0,Twitter for Android
DrKarmaBeer,Dr Karma B,7/20/2019 18:05,@isro #ISRO Eagerly waiting to touch the #chandamama #Chandrayaan2,,0,Twitter for iPhone
CNNnews18,News18,7/20/2019 18:05,#MoonMission2 -- Launch rehearsal of #Chandrayaan2 mission has been completed and performance is normal: @isro. https://t.co/FrM6BKWeYc,India,2,Twitter Web App
Madrassan_Pinky,Pinky Rajpurohit (ABP News) 🇮🇳,7/20/2019 18:03,"Launch rehearsal of #GSLVMkIII-M1 / #Chandrayaan2 mission completed, performance normal
#ISROMissions #ISRO",India,1,Twitter for Android
hindustani_hari,Hari Hindustani,7/20/2019 18:01,@isro I wish you the best of luck #GSLVMkIII-M1 / #Chandrayaan2 mission and  pray to god may you be a winner every time in your new project....,,0,Twitter for Android
Dailyaddaa,DailyaddaaNews,7/20/2019 18:01,"ISRO says ""launch rehearsal of #Chandrayaan2 mission completed""

Read: https://t.co/JZH8PBWJda https://t.co/gFpf3atb7D",New Delhi,0,Twitter Web Client
nirajcpanditMT,Niraj Pandit,7/20/2019 18:00,"Launch rehearsal of #GSLVMkIII-M1 / #Chandrayaan2 mission completed, performance normal
#ISRO @mataonline @MumbaiTimesMT #म #मराठी","Mumbai, India",1,Twitter for Android
im_jiten02,Jiten Das🇮🇳,7/20/2019 18:00,@isro Wow great news... All the very best team @isro  for the mission #Chandrayaan2 ... Jai Hind...,"অসম, भारत 🇮🇳",0,Twitter for Android
RanaSom21,Rana Micheal Som,7/20/2019 17:49,"@isro Chandrayaan 2 is ready to take a billion dreams to the Moon — now stronger than ever before! Join  for the launch on Monday — 22 July, 2019 — at 2:43 PM IST on dd national .
 #Chandrayaan2 #GSLVMkIII #ISRO https://t.co/AwTXDGATZo","New Delhi, India",0,Twitter for Android
Kalkiavtarr,Gary🇮🇳,7/20/2019 17:48,All the best @isro for #Chandrayaan2 https://t.co/6U9uRLew6a,Near by MilkyWay Galaxy,0,Twitter for Android
indragohil,Indra Gohil,7/20/2019 17:46,"on July 22,  tweet from #ISRO :

Launch of #GSLVMkIII-M1 / #Chandrayaan2 mission completed, performance normal
#ISRO

....बस यही इंतजार है,  पर पक्का भरोसा भी है । 🙏🙏 https://t.co/smE61meX7P",Ahmedabad,0,Twitter for Android
rewa2014_sohom,Rewa Sohom,7/20/2019 17:46,Feeling proud...... #India #Chandrayaan2 #ProudToBeIndian https://t.co/QcAA544JNS,"Kolkata, India",0,Twitter for Android
indragohil,Indra Gohil,7/20/2019 17:45,"@isro on July 22,  tweet from #ISRO :

Launch of #GSLVMkIII-M1 / #Chandrayaan2 mission completed, performance normal
#ISRO

....बस यही इंतजार है,  पर पक्का भरोसा भी है । 🙏🙏",Ahmedabad,0,Twitter for Android
antarikshaindia,Antariksha,7/20/2019 17:44,"Launch rehearsal of #GSLVMkIII-M1 / #Chandrayaan2 mission completed, performance normal
#ISRO -isro",,0,IFTTT
MrGajendraSing4,Mr. Gajendra Singh Lamba,7/20/2019 17:44,"Launch rehearsal of #GSLVMkIII-M1 / #Chandrayaan2 mission completed, performance normal
#ISRO https://t.co/yWVCqDmVp3",,0,Twitter for Android
Raj_8055_,Raj,7/20/2019 17:43,@isro Wish you all it'd be a greatest success. We strongly believe that only you'll make us proud with #Chandrayaan2 like you always do. Thank you @isro. Wish you all the best. :),"Hyderabad, India",0,Twitter for Android
bhagyeshn1993,Bhagyesh Nagvekar🇮🇳,7/20/2019 17:43,"@isro Best of luck team #ISRO 
#Chandrayaan2","Mumbai, India",0,Twitter for Android
SAMTHEDRUMMER1,SAM -THE DRUMMER,7/20/2019 17:42,"#Chandrayaan2 hope this time it will be successful .  Will wait for that moment eagerly date and time are  now printed in my mind : 22nd July ,Time : 2:43  #Apollo11  #nasa  #NeilArmstrong #isro #MoonLanding50  #BuzzAldrin #tribute     Go for it guys .. make India proud🤘🏻🤘🏻","New Delhi, India",0,Twitter for iPhone
MrGajendraSing4,Mr. Gajendra Singh Lamba,7/20/2019 17:42,"Launch rehearsal of #GSLVMkIII-M1 / #Chandrayaan2 mission completed, performance normal
#ISRO",,0,Twitter for Android
GlitchedBot07,Amith,7/20/2019 17:42,I'm extremely proud and happy @isro's #Chandrayaan2 happening at the 50th year anniversary of the Apollo 11.. I'm also fairly confident ISRO will catch up to NASA with its innovative strategies...,"Hindustan, 1AU",0,Twitter for Android
Deepthi_iam,Ⓓⓔⓔⓟⓣⓗⓘ,7/20/2019 17:42,"@isro Great news 🇮🇳
#Chandrayaan2 #ISROMissions #ISRO",India🇮🇳,0,Twitter for Android
veeracbe,Veerakumar Nagaraj,7/20/2019 17:42,@isro Awesome !!! Congrats #ISRO #Chandrayaan2 ..,"Coimbatore, India",0,Twitter for Android
ndtv,NDTV,7/20/2019 17:41,"ISRO says ""launch rehearsal of #Chandrayaan2 mission completed""

Know more here: https://t.co/zvpZlEop8Y https://t.co/Ny73bLcbUv",India,11,Twitter Web App
Blackbird_C_,Chirag Pawar,7/20/2019 17:40,"#GSLVMkIII
Hardest thing about designing the stuff which qualifies to be a state secret is, u wouldn't even have the basic geometry and dimensions available at ur expense. But the satisfaction which fallows, makes it all worthy.
@isro 
#Chandrayaan2
#MissionMoon
#MissionMangal https://t.co/lpBWzSZ28t",,0,Twitter for Android
BollyNumbers,Bollywood Numbers,7/20/2019 17:40,"@chirayugulati @BollywoodNewbie @theshahshahid Upcoming #Chandrayaan2 mission is India's 1st space mission being led by women. 

#VanithaMuthayya is heading the country's second lunar mission as Project Director &amp; #RituKaridhal as Mission Director. 

https://t.co/8mp30g8NYv https://t.co/MfOrfoKtWR",India,4,Twitter Web App
om_kumar07,Om kumar,7/20/2019 17:39,@isro All the best team @isro for #Chandrayaan2 mission 👍👍,"Patna, India",0,Twitter for Android
VarunShraddha_,S A H I L || 🇮🇳 💙,7/20/2019 17:39,@isro That's great! Get ready moon #Chandrayaan2 is all set to study you 🙌✌👍,"Mumbai,India ",0,Twitter Web App
Satz1431989,Satz,7/20/2019 17:37,"@isro #ISROMissions 
#GSLVMkIII 
#Chandrayaan2 
(``*·|·*``)     ISRO     (``*·|·*``)
  (,,/\,,)       Good       (,,/\,,)
  (``*·|·*``)  News  (``*·|·*``)
    (,,/\,,)  👏😘👏   (,,/\,,)
                (``*·|·*``)
                  (,,/\,,)
🇮🇳🚀🇮🇳😘🦋😘🇮🇳🚀🇮🇳","Chennai, India",0,Twitter for Android
jayadityaproto,Jayaditya,7/20/2019 17:35,"Great News!

#Chandrayaan2 https://t.co/jkPd5aULQS",India,0,Twitter Web App
HARSHARAJ1998,Harsharaj Boradhara,7/20/2019 17:35,@isro Great👍👍 #Chandrayaan2 #ISRO,"Valia, India",0,Twitter for Android
TamilAiadmk,Mr Politician🌱😎,7/20/2019 17:34,"Launch rehearsal of #GSLVMkIII-M1 / #Chandrayaan2 mission completed, performance normal
#ISRO",Ukarine,0,Twitter for Android
isro,ISRO,7/20/2019 17:34,"Launch rehearsal of #GSLVMkIII-M1 / #Chandrayaan2 mission completed, performance normal
#ISRO",Bangalore,3027,Twitter Web App
naashonomics,naashonomics,7/20/2019 17:23,"#Chandrayaan2 #MoonMission to Launch on July 22, #ISRO Announces https://t.co/RNX9MZViDi",San Jose,0,Twitter Web App
ipshitanandi,Ipshita Nandi Banerjee,7/20/2019 17:11,"Look at this #Godman’s #FOMO! Showing up at @isro at the eve of #Chandrayaan2 success and trying to compete with India’s #STEM genius! Yes I am rolling my eyes 👀 in horror and no, I am not surprised 😱 https://t.co/RXJRdvAqLR","New Delhi, India",0,Twitter for iPhone
pradeepsingh83,THE UGLY TRUTH,7/20/2019 17:10,So this tharki was successful to make it to ISRO control room for #Chandrayaan2 https://t.co/h6z5G6Deqr,"Ghaziabad, Uttar Pradesh",0,Twitter for Android
b2018sh,bsh,7/20/2019 17:02,@PoMoGandhi After so many efforts man can't be 100 p.c. leak proof of anything and through this hole all this religious activists enters. These activities should be done in personal level and not with the help of some Guru. Afterall it is a scientific institute #Chandrayaan2 #ISRO #GSLVMkIII,India,0,Twitter Web App
LeelaPo,leela prasad,7/20/2019 16:49,"127hours 39min 39.2sec 
20th July 1969
50 years of First step on Moon 
#ApolloXI #USA @NASA 

On the way to moon #Chandrayaan2
22nd July 2019 at 14:43
#GSLVMkIII #india @isro","Madanapalle, India",0,Twitter for Android
Astroguyz,Dave Dickinson,7/20/2019 16:48,The next launch worldwide is an ISRO GSLV Mk.3 rocket with the #Chandrayaan2 Moon mission from Satish Dhawan Space Center in India on July 22nd at 9:13 UT: https://t.co/iHGpdSwCY8,"Current Base Camp: Norfolk, Virginia (UT-4)",2,TweetDeck
singhvi_hardik,Hardik Singhvi,7/20/2019 16:24,"Did i see PM in the time, i thought moon was closer at night because it is directly up and not behind the Earth. Wait a minute..... I forgot, #Chandrayaan2 will orbit and slowly increase its speed!!!! So we can watch it in the afternoon!!!!! Thank You!!!!!! https://t.co/TfSRBwcQMu",,0,Twitter for Android
aparanjape,Amit Paranjape,7/20/2019 16:23,"Focus will be on ensuring safe touchdown for lander, says former @ISRO Chairman @radhakr272

 https://t.co/Tz8fU1BppG

#Chandrayaan2 #VikramLander","Pune, India",1,Twitter for Android
TheNameIsBalu,Mr.🔰 #తెలుగుని #తెలుగులోనే,7/20/2019 16:10,"Behind the scenes of Construction #Chandrayaan2 

Pride of India🇮🇳🇮🇳🇮🇳

#Chandrayaan2theMoon https://t.co/XkGkaQVQOb",planet Mars,22,Twitter for Android
abhir24,Abhilash R,7/20/2019 16:04,"Brilliant article. Has got me in the mood for the #Chandrayaan2 launch on Monday.

Power to you, @isro. https://t.co/sA2YPhdKEG","Bengaluru, India",0,Twitter for Android
Selva_from_TN,SelvaKumar S,7/20/2019 16:03,"@RKRadhakrishn @SadhguruJV If you give missed call to 91234 ##### number, #Chandrayaan2 will be successful Sir.. 📱📲📳

Like How he saved Rivers.. 🤭🤭","Chennai, TN, INDIA",0,Twitter Web App
FinancialXpress,Financial Express,7/20/2019 16:02,"#Chandrayaan2 : What were the risks which caused launch delay 
https://t.co/ZejJk5pdZa https://t.co/d1neIu9gA0","New Delhi, India",4,Twitter Web App
Lolpolldaily,Lol Pol™💙,7/20/2019 16:01,"India will be landing on Moon in a month or so.. till then ...watch Indian story of reaching to MARS.. Watch ""Mission Mangal | Official Teaser | Akshay | Vidya | Sonakshi | Taapsee | Dir:Jagan Shakti | 15th Aug"" on YouTube https://t.co/VmejgHSHFq #Apollo50th @isro #Chandrayaan2",Delhi,0,Twitter Web App
Sumeet0518,Sumeet Gupta,7/20/2019 15:55,@isro All the best team @isro #Chandrayaan2 #ISRO #GSLVMkIII,"New Delhi, India",0,Twitter for iPhone
Aman06282734,Aman Singh,7/20/2019 15:54,"@PJkanojia Absolutely Right Sir ji
#IndianArmy killing inocent people in the India
👇
https://t.co/92S26fyjYc
☝️
#SonbhadraMassacre 
#SaturdayMotivation 
#SaturdayThoughts 
#SonbhadraKillings 
#SonbhadraFiring 
#Sonbhadra 
#notmydeepika #Delhi #BJP #Chandrayaan2 #Bollywood","Chandigarh, India",0,Twitter for Android
